JA,EN
日々/ひび,daily/days
日にち/ひにち,date/number of days
日に日に/ひにひに,day by day/every day
ある日/あるひ,one day/a certain day
日ソ/にっソ,Japan and the Soviet Union
一日/いちにち,one day
一々/いちいち,one by one/in detail
一つ/ひとつ,one (of something)
一つずつ/ひとつずつ,one at a time
二日/ふつか,two days/2nd of the month
一つ二つ/ひとつふたつ,one or two
三つだけ/みっつだけ,just three
三日/みっか,three days/3rd of the month
二三日/にさんいち,two or three days
二十/にじゅう,twenty
十日/とおか,ten days/10th of the month
二十日/はつか,twenty days/20th of the month
一から十まで/いちからじゅうまで,without exception
三日まで/みっかまで,by the 3rd
四日/よっか,four days/4th of the month
十四/じゅうよん,fourteen
四十四/よんじゅうよん,forty-four
十四日/じゅうよっか,fourteen days/14th of the month
五日/いつか,five days/5th of the month
四、五日/よん、ごにち,four or five days
五十五/ごじゅうご,fifty-five
五つほど/いつつほど,around five
六日/むいか,six days/6th of the month
六日ぶりに/むいかぶりに,for the first time in six days
十六/じゅうろく,sixteen
六つ/むっつ,six years old
七日/なのか,seven days/7th of the month
十七日/じゅうしちにち,seventeen days/17th of the month
七五三/しちごさん,"the lucky numbers/festival for children of three, five and seven"
八日/ようか,eight days/8th of the month
十八日/じゅうはちにち,eighteen days/18th of the month
一か八か/いちかばちか,all or nothing/hit or miss
九日/ここのか,nine days/9th of the month
九十九/きゅうじゅうきゅう,ninety-nine
九九/くく,multiplication table
九つ/ここのつ,nine (of something)
九日から/ここのかから,starting on the 9th
一丸となって/いちがんとなって,as one/all together
日の丸/ひのまる,Rising Sun flag
丸い/まるい,round/spherical
丸める/まるめる,make round/roll up
円い/まるい,circular/round
円さ/まるさ,roundness
円グラフ/えんグラフ,pie chart
一円/いちえん,one yen
十四円/じゅうよえん,fourteen yen
ロシア人/ロシアじん,a Russian
一人/ひとり,one person
一人二人/ひとりふたり,one or two people
二十人/にじゅうにん,twenty people
人々/ひとびと,people
百日/ひゃくにち,a hundred days/a long time
百人/ひゅくにん,a hundred people
六百円/ろっぴゃくえん,600 yen
千人/せんにん,a thousand people
一千/いっせん,one thousand
三千/さんぜん,three thousand
八千円/はっせんえん,8000 yen
千々に,in pieces
万人/ばんにん,all people
万一/まんいち,if by any chance
一万/いちまん,ten thousand
人口/じんこう,population
一口/ひとくち,a mouthful
口コミ/くちコミ,word of mouth
口パク/くちパク,lip synch
口にする/くちにする,eat/say/speak of
田んぼ/たんぼ,rice field
ガス田/ガスでん,gas field
三田/みた,Mita (surname)
田口/たぐち,Taguchi (surname)
一目/ひとめ/いちもく,a look/a glimpse
人目/ひとめ,"attention, public notice"
目つき/めつき,look/expression
五十人目/ごじゅうにんめ,fiftieth person
六日目/むいかめ,the sixth day
川口/かわぐち,mouth of a river/Kawaguchi (surname)
川田/かわた/かわだ,Kawata (surname)/Kawada (surname)
一月/いちがつ,January
一月/ひとつき,one month
三月八日/さんがつようか,March 8
月日/がっぴ,date
月日/つきひ,"time, days"
明月/めいげつ,bright moon/full moon/harvest moon
明るい/あかるい,"bright, light/clear/cheerful"
明らかな/あきらかな,clear/distinct/apparent
明日/あす/あした,tomorrow
日曜日/にちようび,Sunday
月曜日/げつようび,Monday
曜日/ようび,day of the week
七曜/しちよう,seven days of the week
火曜日/かようび,Tuesday
火口/かこう,crater
火口/ひぐち,cause of a fire
口火/くちび,fuse/pilot burner/cause (of a war)
火水/ひみず,(as opposite as) fire and water
水口/みずぐち,spout/nozzle
水田/すいでん,paddy field/rice field
水曜日/すいようび,Wednesday
月水/げっすい,Mondays and Wednesdays
木曜日/もくようび,Thursday
１月７日/いちがつなのか,January 7
火木/かもく,Tuesdays and Thursday
木目/きめ/もくめ,(wood) grain
一木/いちぼく,one tree
口金/くちがね,"metal clasp, snap/metal cap"
金メダル/きんメダル,gold medal
金曜日/きんょうび,Friday
月水金/げっすいきん,"Mondays, Wednesdays and Fridays"
土曜日/どようび,Saturday
土日/どにち,Saturday and Sunday/ weekend
土木/どぼく,engineering works
土じん/どじん,aborigines
土いじり/つちいじり,fiddling with dirt/puttering in the garden
お金/おかね,money
川べり,riverbank